bc,dealerId,date,metric,flagAnomaly,forecast,isAnomalyValue,lowerBound,severityScore,upperBound,value,zScore
cbc,cbc,2/4/2017 0:00,sni,0,"22,454.00",,"19,944.00",0,"24,963.00","21,934.00",-0.41
cbc,cbc,2/4/2017 0:00,uniquevisitors,0,"51,340.00",,"46,756.00",1,"55,924.00","48,151.00",-1.39
cbc,cbc,2/4/2017 0:00,vdp,0,"16,650.00",,"14,485.00",1,"18,814.00","15,547.00",-1.02
cbc,cbc,2/4/2017 0:00,visits,0,"60,086.00",,"55,064.00",0,"65,107.00","57,637.00",-0.98
cbc,cbc,2/5/2017 0:00,bouncerate,0,40.11,,35.88,0,44.33,41.18,0.51
cbc,cbc,2/5/2017 0:00,event1,0,457,,371,0,542,489,0.75
cbc,cbc,2/5/2017 0:00,event2,0,"23,688.00",,"20,366.00",1,"27,010.00","20,964.00",-1.64
cbc,cbc,2/5/2017 0:00,pageviews,0,"228,255.00",,"206,543.00",1,"249,967.00","216,790.00",-1.06
cbc,cbc,2/5/2017 0:00,ppv,0,4.43,,4.19,1,4.68,4.26,-1.34
cbc,cbc,2/5/2017 0:00,sni,0,"18,968.00",,"16,486.00",1,"21,450.00","20,843.00",1.51
cbc,cbc,2/5/2017 0:00,uniquevisitors,0,"43,238.00",,"38,603.00",0,"47,872.00","44,254.00",0.44
cbc,cbc,2/5/2017 0:00,vdp,1,"16,855.00","14,140.00","14,691.00",2,"19,020.00","14,140.00",-2.51
cbc,cbc,2/5/2017 0:00,visits,0,"50,112.00",,"45,097.00",0,"55,128.00","50,862.00",0.3
cbc,cbc,2/6/2017 0:00,bouncerate,0,40.95,,36.76,0,45.14,41.44,0.23
cbc,cbc,2/6/2017 0:00,event1,0,657,,572,1,742,596,-1.44
cbc,cbc,2/6/2017 0:00,event2,0,"23,577.00",,"20,206.00",1,"26,949.00","26,054.00",1.47
cbc,cbc,2/6/2017 0:00,pageviews,0,"238,129.00",,"216,398.00",1,"259,860.00","249,909.00",1.08
cbc,cbc,2/6/2017 0:00,ppv,0,4.16,,3.91,0,4.41,4.25,0.72
cbc,cbc,2/6/2017 0:00,sni,0,"21,319.00",,"18,800.00",0,"23,838.00","21,574.00",0.2
cbc,cbc,2/6/2017 0:00,uniquevisitors,0,"49,447.00",,"44,860.00",0,"54,034.00","50,749.00",0.57
cbc,cbc,2/6/2017 0:00,vdp,0,"16,669.00",,"14,429.00",1,"18,909.00","14,775.00",-1.69
cbc,cbc,2/6/2017 0:00,visits,0,"57,832.00",,"52,874.00",0,"62,790.00","58,797.00",0.39
cbc,cbc,2/7/2017 0:00,bouncerate,0,42.9,,38.76,0,47.04,42.81,-0.04
cbc,cbc,2/7/2017 0:00,event1,0,599,,513,1,685,527,-1.67
cbc,cbc,2/7/2017 0:00,event2,0,"25,482.00",,"21,791.00",0,"29,173.00","26,570.00",0.59
cbc,cbc,2/7/2017 0:00,pageviews,0,"242,322.00",,"220,557.00",1,"264,088.00","259,241.00",1.55
cbc,cbc,2/7/2017 0:00,ppv,0,4.09,,3.84,0,4.34,4.17,0.61
cbc,cbc,2/7/2017 0:00,sni,0,"21,621.00",,"19,132.00",0,"24,111.00","22,783.00",0.93
cbc,cbc,2/7/2017 0:00,uniquevisitors,0,"50,423.00",,"45,875.00",1,"54,971.00","53,331.00",1.28
cbc,cbc,2/7/2017 0:00,vdp,0,"16,259.00",,"13,972.00",0,"18,546.00","15,574.00",-0.6
cbc,cbc,2/7/2017 0:00,visits,0,"58,754.00",,"53,848.00",1,"63,660.00","62,216.00",1.41
cbc,cbc,2/8/2017 0:00,bouncerate,0,41.02,,36.93,0,45.11,42.27,0.61
cbc,cbc,2/8/2017 0:00,event1,0,554,,467,0,642,572,0.41
cbc,cbc,2/8/2017 0:00,event2,0,"28,243.00",,"24,185.00",0,"32,302.00","26,505.00",-0.86
cbc,cbc,2/8/2017 0:00,pageviews,0,"256,496.00",,"234,391.00",0,"278,601.00","259,297.00",0.25
cbc,cbc,2/8/2017 0:00,ppv,0,4.08,,3.83,1,4.32,4.21,1.05
cbc,cbc,2/8/2017 0:00,sni,1,"21,693.00","24,370.00","19,209.00",2,"24,178.00","24,370.00",2.15
cbc,cbc,2/8/2017 0:00,uniquevisitors,0,"52,950.00",,"48,371.00",0,"57,528.00","52,632.00",-0.14
cbc,cbc,2/8/2017 0:00,vdp,0,"15,922.00",,"13,652.00",0,"18,191.00","15,331.00",-0.52
cbc,cbc,2/8/2017 0:00,visits,0,"62,068.00",,"57,109.00",0,"67,027.00","61,642.00",-0.17
cbc,cbc,2/9/2017 0:00,bouncerate,0,41.53,,37.47,0,45.59,42.02,0.24
cbc,cbc,2/9/2017 0:00,event1,0,588,,501,0,675,619,0.71
cbc,cbc,2/9/2017 0:00,event2,0,"25,499.00",,"21,848.00",1,"29,151.00","28,267.00",1.52
cbc,cbc,2/9/2017 0:00,pageviews,0,"260,632.00",,"238,770.00",0,"282,495.00","258,464.00",-0.2
cbc,cbc,2/9/2017 0:00,ppv,0,4.29,,4.04,0,4.54,4.19,-0.79
cbc,cbc,2/9/2017 0:00,sni,0,"23,805.00",,"21,240.00",0,"26,370.00","24,203.00",0.31
cbc,cbc,2/9/2017 0:00,uniquevisitors,0,"51,171.00",,"46,644.00",0,"55,697.00","52,713.00",0.68
cbc,cbc,2/9/2017 0:00,vdp,0,"15,515.00",,"13,266.00",0,"17,765.00","15,826.00",0.28
cbc,cbc,2/9/2017 0:00,visits,0,"59,998.00",,"55,095.00",0,"64,901.00","61,674.00",0.68
cbc,cbc,2/10/2017 0:00,bouncerate,0,42.94,,38.92,0,46.95,42.07,-0.43
cbc,cbc,2/10/2017 0:00,event1,0,575,,489,0,662,608,0.76
cbc,cbc,2/10/2017 0:00,event2,0,"28,325.00",,"24,214.00",0,"32,436.00","26,701.00",-0.79
cbc,cbc,2/10/2017 0:00,pageviews,0,"262,770.00",,"241,148.00",0,"284,392.00","261,577.00",-0.11
cbc,cbc,2/10/2017 0:00,ppv,0,4.15,,3.9,0,4.4,4.11,-0.36
cbc,cbc,2/10/2017 0:00,sni,0,"24,809.00",,"22,270.00",0,"27,348.00","25,048.00",0.19
cbc,cbc,2/10/2017 0:00,uniquevisitors,0,"54,960.00",,"50,462.00",0,"59,457.00","54,317.00",-0.29
cbc,cbc,2/10/2017 0:00,vdp,0,"15,276.00",,"13,050.00",0,"17,502.00","16,002.00",0.65
cbc,cbc,2/10/2017 0:00,visits,0,"64,444.00",,"59,572.00",0,"69,316.00","63,716.00",-0.3
cbc,cbc,2/11/2017 0:00,bouncerate,0,40.23,,37.76,1,42.7,38.99,-1
cbc,cbc,2/11/2017 0:00,event1,1,550,624,486,2,613,624,2.35
cbc,cbc,2/11/2017 0:00,event2,0,"25,766.00",,"23,304.00",0,"28,229.00","25,537.00",-0.19
cbc,cbc,2/11/2017 0:00,pageviews,0,"264,594.00",,"254,053.00",0,"275,135.00","265,030.00",0.08
cbc,cbc,2/11/2017 0:00,ppv,0,4.34,,4.16,0,4.52,4.37,0.34
cbc,cbc,2/11/2017 0:00,sni,1,"26,030.00","23,912.00","24,010.00",2,"28,049.00","23,912.00",-2.1
cbc,cbc,2/11/2017 0:00,uniquevisitors,0,"52,699.00",,"50,070.00",0,"55,327.00","51,510.00",-0.9
cbc,cbc,2/11/2017 0:00,vdp,0,"16,454.00",,"15,347.00",0,"17,560.00","16,606.00",0.27
cbc,cbc,2/11/2017 0:00,visits,0,"62,844.00",,"60,068.00",1,"65,620.00","60,640.00",-1.59
cbc,cbc,2/12/2017 0:00,bouncerate,0,39.87,,37.36,0,42.38,40.41,0.43
cbc,cbc,2/12/2017 0:00,event1,0,517,,452,1,582,573,1.72
cbc,cbc,2/12/2017 0:00,event2,0,"23,356.00",,"21,058.00",0,"25,654.00","23,358.00",0
cbc,cbc,2/12/2017 0:00,pageviews,0,"241,478.00",,"230,905.00",0,"252,052.00","244,897.00",0.65
cbc,cbc,2/12/2017 0:00,ppv,0,4.44,,4.25,0,4.63,4.46,0.18
cbc,cbc,2/12/2017 0:00,sni,0,"22,496.00",,"20,464.00",0,"24,529.00","22,624.00",0.13
cbc,cbc,2/12/2017 0:00,uniquevisitors,0,"47,229.00",,"44,192.00",0,"50,266.00","47,270.00",0.03
cbc,cbc,2/12/2017 0:00,vdp,0,"15,596.00",,"14,439.00",0,"16,752.00","15,423.00",-0.3
cbc,cbc,2/12/2017 0:00,visits,0,"54,606.00",,"51,295.00",0,"57,917.00","54,951.00",0.21
cbc,cbc,2/13/2017 0:00,bouncerate,1,41.16,43.96,38.71,2,43.6,43.96,2.29
cbc,cbc,2/13/2017 0:00,event1,0,656,,588,1,723,614,-1.25
cbc,cbc,2/13/2017 0:00,event2,0,"26,478.00",,"24,012.00",0,"28,943.00","26,392.00",-0.07
cbc,cbc,2/13/2017 0:00,pageviews,0,"258,347.00",,"248,038.00",1,"268,656.00","252,670.00",-1.1
cbc,cbc,2/13/2017 0:00,ppv,1,4.23,3.95,4.06,3,4.41,3.95,-3.12
cbc,cbc,2/13/2017 0:00,sni,0,"23,068.00",,"20,998.00",1,"25,137.00","24,195.00",1.09
cbc,cbc,2/13/2017 0:00,uniquevisitors,0,"53,188.00",,"50,587.00",1,"55,790.00","55,116.00",1.48
cbc,cbc,2/13/2017 0:00,vdp,0,"15,822.00",,"14,741.00",0,"16,903.00","15,658.00",-0.3
cbc,cbc,2/13/2017 0:00,visits,0,"62,856.00",,"60,022.00",0,"65,689.00","63,978.00",0.79
cbc,cbc,2/14/2017 0:00,bouncerate,0,43.32,,40.74,1,45.89,45.84,1.96
cbc,cbc,2/14/2017 0:00,event1,0,584,,517,1,652,518,-1.94
cbc,cbc,2/14/2017 0:00,event2,0,"26,346.00",,"23,821.00",0,"28,871.00","25,954.00",-0.31
cbc,cbc,2/14/2017 0:00,pageviews,1,"258,547.00","241,124.00","248,062.00",3,"269,032.00","241,124.00",-3.32
cbc,cbc,2/14/2017 0:00,ppv,0,4.03,,3.83,1,4.22,3.85,-1.89
cbc,cbc,2/14/2017 0:00,sni,0,"24,184.00",,"22,166.00",0,"26,202.00","23,874.00",-0.31
cbc,cbc,2/14/2017 0:00,uniquevisitors,0,"55,535.00",,"52,429.00",1,"58,641.00","53,818.00",-1.11
cbc,cbc,2/14/2017 0:00,vdp,1,"16,210.00","14,815.00","15,083.00",2,"17,337.00","14,815.00",-2.48
cbc,cbc,2/14/2017 0:00,visits,0,"64,685.00",,"61,297.00",1,"68,072.00","62,627.00",-1.22
cbc,cbc,2/15/2017 0:00,bouncerate,0,43.42,,40.76,0,46.09,43.4,-0.02
cbc,cbc,2/15/2017 0:00,event1,0,593,,524,0,663,590,-0.09
cbc,cbc,2/15/2017 0:00,event2,0,"26,978.00",,"24,422.00",0,"29,533.00","26,091.00",-0.69
cbc,cbc,2/15/2017 0:00,pageviews,0,"258,284.00",,"247,424.00",0,"269,144.00","255,966.00",-0.43
cbc,cbc,2/15/2017 0:00,ppv,0,4.05,,3.85,0,4.25,4.01,-0.37
cbc,cbc,2/15/2017 0:00,sni,0,"23,598.00",,"21,604.00",0,"25,593.00","24,045.00",0.45
cbc,cbc,2/15/2017 0:00,uniquevisitors,0,"53,134.00",,"50,021.00",0,"56,246.00","54,009.00",0.56
cbc,cbc,2/15/2017 0:00,vdp,0,"15,353.00",,"14,186.00",1,"16,520.00","14,631.00",-1.24
cbc,cbc,2/15/2017 0:00,visits,0,"61,963.00",,"58,557.00",1,"65,368.00","63,778.00",1.07
cbc,cbc,2/16/2017 0:00,bouncerate,1,43.58,48.03,40.95,3,46.21,48.03,3.39
cbc,cbc,2/16/2017 0:00,event1,1,588,661,519,2,657,661,2.12
cbc,cbc,2/16/2017 0:00,event2,1,"26,483.00","34,718.00","23,991.00",6,"28,975.00","34,718.00",6.61
cbc,cbc,2/16/2017 0:00,pageviews,1,"262,432.00","291,793.00","251,684.00",5,"273,179.00","291,793.00",5.46
cbc,cbc,2/16/2017 0:00,ppv,1,4.14,3.66,3.94,4,4.34,3.66,-4.81
cbc,cbc,2/16/2017 0:00,sni,1,"24,179.00","27,482.00","22,205.00",3,"26,153.00","27,482.00",3.35
cbc,cbc,2/16/2017 0:00,uniquevisitors,1,"53,655.00","70,138.00","50,569.00",10,"56,740.00","70,138.00",10.69
cbc,cbc,2/16/2017 0:00,vdp,1,"15,756.00","27,543.00","14,582.00",10,"16,930.00","27,543.00",20.08
cbc,cbc,2/16/2017 0:00,visits,1,"62,585.00","79,742.00","59,175.00",10,"65,994.00","79,742.00",10.07
cbc,cbc,2/17/2017 0:00,bouncerate,0,44.94,,42.23,0,47.66,43.87,-0.79
cbc,cbc,2/17/2017 0:00,event1,1,608,687,537,2,680,687,2.19
cbc,cbc,2/17/2017 0:00,event2,1,"28,203.00","31,672.00","25,459.00",2,"30,947.00","31,672.00",2.53
cbc,cbc,2/17/2017 0:00,pageviews,1,"268,043.00","306,275.00","256,929.00",6,"279,156.00","306,275.00",6.88
cbc,cbc,2/17/2017 0:00,ppv,0,3.98,,3.78,0,4.19,4.02,0.42
cbc,cbc,2/17/2017 0:00,sni,1,"25,708.00","28,526.00","23,666.00",2,"27,749.00","28,526.00",2.76
cbc,cbc,2/17/2017 0:00,uniquevisitors,1,"57,293.00","64,997.00","54,102.00",4,"60,483.00","64,997.00",4.83
cbc,cbc,2/17/2017 0:00,vdp,1,"16,468.00","20,101.00","15,254.00",5,"17,682.00","20,101.00",5.99
cbc,cbc,2/17/2017 0:00,visits,1,"67,115.00","76,106.00","63,589.00",5,"70,641.00","76,106.00",5.1
cbc,cbc,2/18/2017 0:00,bouncerate,0,41.68,,39.02,0,44.33,40.59,-0.82
cbc,cbc,2/18/2017 0:00,event1,0,598,,523,0,672,588,-0.27
cbc,cbc,2/18/2017 0:00,event2,0,"27,185.00",,"24,571.00",1,"29,799.00","29,295.00",1.61
cbc,cbc,2/18/2017 0:00,pageviews,1,"271,225.00","303,895.00","259,944.00",5,"282,506.00","303,895.00",5.79
cbc,cbc,2/18/2017 0:00,ppv,0,4.22,,4.03,0,4.42,4.27,0.52
cbc,cbc,2/18/2017 0:00,sni,0,"27,457.00",,"25,288.00",0,"29,625.00","26,769.00",-0.63
cbc,cbc,2/18/2017 0:00,uniquevisitors,1,"55,749.00","60,336.00","52,979.00",3,"58,519.00","60,336.00",3.31
cbc,cbc,2/18/2017 0:00,vdp,1,"17,010.00","19,320.00","15,811.00",3,"18,209.00","19,320.00",3.85
cbc,cbc,2/18/2017 0:00,visits,1,"66,450.00","71,143.00","63,467.00",3,"69,434.00","71,143.00",3.15
cbc,cbc,2/19/2017 0:00,bouncerate,0,41.56,,38.92,0,44.2,40.46,-0.83
cbc,cbc,2/19/2017 0:00,event1,1,548,666,475,3,622,666,3.19
cbc,cbc,2/19/2017 0:00,event2,0,"25,735.00",,"23,218.00",0,"28,252.00","26,876.00",0.91
cbc,cbc,2/19/2017 0:00,pageviews,1,"249,653.00","286,539.00","238,014.00",6,"261,292.00","286,539.00",6.34
cbc,cbc,2/19/2017 0:00,ppv,0,4.3,,4.11,1,4.49,4.46,1.73
cbc,cbc,2/19/2017 0:00,sni,0,"25,028.00",,"22,875.00",0,"27,182.00","25,555.00",0.49
cbc,cbc,2/19/2017 0:00,uniquevisitors,0,"52,170.00",,"49,312.00",1,"55,028.00","54,915.00",1.92
cbc,cbc,2/19/2017 0:00,vdp,1,"16,243.00","17,878.00","15,005.00",2,"17,480.00","17,878.00",2.64
cbc,cbc,2/19/2017 0:00,visits,0,"61,357.00",,"58,279.00",1,"64,435.00","64,177.00",1.83
cbc,cbc,2/20/2017 0:00,bouncerate,0,42.5,,39.8,0,45.2,42.03,-0.35
cbc,cbc,2/20/2017 0:00,event1,1,693,781,618,2,769,781,2.32
cbc,cbc,2/20/2017 0:00,event2,0,"29,759.00",,"26,821.00",0,"32,697.00","28,707.00",-0.72
cbc,cbc,2/20/2017 0:00,pageviews,1,"266,817.00","301,423.00","254,584.00",5,"279,051.00","301,423.00",5.66
cbc,cbc,2/20/2017 0:00,ppv,0,4.1,,3.89,1,4.3,4.25,1.45
cbc,cbc,2/20/2017 0:00,sni,0,"25,965.00",,"23,896.00",0,"28,034.00","26,506.00",0.52
cbc,cbc,2/20/2017 0:00,uniquevisitors,0,"60,296.00",,"56,931.00",0,"63,661.00","60,487.00",0.11
cbc,cbc,2/20/2017 0:00,vdp,0,"17,210.00",,"15,874.00",1,"18,547.00","17,974.00",1.14
cbc,cbc,2/20/2017 0:00,visits,0,"70,319.00",,"66,598.00",0,"74,039.00","71,000.00",0.37
cbc,cbc,2/21/2017 0:00,bouncerate,0,44.22,,41.69,0,46.75,43.19,-0.81
cbc,cbc,2/21/2017 0:00,event1,1,598,685,523,2,673,685,2.32
cbc,cbc,2/21/2017 0:00,event2,1,"29,013.00","25,120.00","25,287.00",2,"32,739.00","25,120.00",-2.09
cbc,cbc,2/21/2017 0:00,pageviews,1,"297,195.00","255,443.00","279,455.00",4,"314,934.00","255,443.00",-4.71
cbc,cbc,2/21/2017 0:00,ppv,0,4.03,,3.82,0,4.24,4.03,-0.02
cbc,cbc,2/21/2017 0:00,sni,1,"26,632.00","24,028.00","24,834.00",2,"28,430.00","24,028.00",-2.9
cbc,cbc,2/21/2017 0:00,uniquevisitors,1,"62,119.00","54,160.00","56,891.00",3,"67,347.00","54,160.00",-3.04
cbc,cbc,2/21/2017 0:00,vdp,0,"17,454.00",,"13,333.00",0,"21,576.00","16,036.00",-0.69
cbc,cbc,2/21/2017 0:00,visits,1,"72,729.00","63,422.00","67,289.00",3,"78,170.00","63,422.00",-3.42
cbc,cbc,2/22/2017 0:00,bouncerate,0,43.18,,40.66,1,45.69,41.75,-1.13
cbc,cbc,2/22/2017 0:00,event1,0,641,,563,0,719,673,0.82
cbc,cbc,2/22/2017 0:00,event2,0,"28,048.00",,"24,306.00",1,"31,789.00","24,937.00",-1.66
cbc,cbc,2/22/2017 0:00,pageviews,1,"282,103.00","255,857.00","263,677.00",2,"300,529.00","255,857.00",-2.85
cbc,cbc,2/22/2017 0:00,ppv,0,4.09,,3.88,0,4.3,4.1,0.11
cbc,cbc,2/22/2017 0:00,sni,0,"24,940.00",,"23,192.00",1,"26,689.00","23,918.00",-1.17
